Date	ET
20000101	0.771
20000102	0.723
20000103	0.901
20000104	0.428
20000105	0.551
20000106	0.444
20000107	0.297
20000108	0.457
20000109	0.567
20000110	0.535
20000111	0.519
20000112	0.540
20000113	0.368
20000114	0.311
20000115	0.393
20000116	0.360
20000117	0.358
20000118	0.253
20000119	0.409
20000120	0.378
20000121	0.306
20000122	0.239
20000123	0.342
20000124	0.392
20000125	0.293
20000126	0.318
20000127	0.386
20000128	0.531
20000129	0.377
20000130	0.359
20000131	0.290
20000201	0.372
20000202	0.395
20000203	0.340
20000204	0.224
20000205	0.348
20000206	0.273
20000207	0.301
20000208	0.342
20000209	0.450
20000210	0.337
20000211	0.018
20000212	0.567
20000213	0.219
20000214	0.293
20000215	0.457
20000216	0.237
20000217	0.411
20000218	0.301
20000219	0.215
20000220	0.108
20000221	0.123
20000222	0.297
20000223	0.439
20000224	0.202
20000225	0.551
20000226	0.359
20000227	0.201
20000228	0.228
20000229	0.517
20000301	2.012
20000302	3.451
20000303	2.410
20000304	2.331
20000305	1.872
20000306	0.691
20000307	1.970
20000308	2.865
20000309	0.966
20000310	0.058
20000311	0.767
20000312	0.769
20000313	0.265
20000314	0.419
20000315	0.886
20000316	1.364
20000317	1.618
20000318	1.067
20000319	0.986
20000320	0.336
20000321	0.001
20000322	0.459
20000323	1.696
20000324	4.625
20000325	2.608
20000326	3.171
20000327	2.042
20000328	1.619
20000329	1.439
20000330	1.099
20000331	0.002
20000401	0.486
20000402	3.905
20000403	3.159
20000404	2.209
20000405	2.307
20000406	1.352
20000407	2.265
20000408	0.832
20000409	1.289
20000410	0.896
20000411	0.982
20000412	0.901
20000413	1.060
20000414	1.608
20000415	1.099
20000416	0.679
20000417	0.760
20000418	1.535
20000419	1.337
20000420	0.661
20000421	0.383
20000422	0.828
20000423	0.408
20000424	0.438
20000425	0.379
20000426	0.611
20000427	0.455
20000428	0.212
20000429	0.223
20000430	0.988
20000501	0.825
20000502	4.002
20000503	5.101
20000504	4.683
20000505	3.720
20000506	3.072
20000507	2.046
20000508	1.580
20000509	0.921
20000510	1.294
20000511	1.216
20000512	0.668
20000513	0.621
20000514	0.558
20000515	0.752
20000516	5.756
20000517	5.374
20000518	1.289
20000519	1.075
20000520	1.587
20000521	2.368
20000522	1.558
20000523	1.148
20000524	0.569
20000525	0.538
20000526	3.950
20000527	1.945
20000528	1.154
20000529	1.264
20000530	3.525
20000531	3.266
20000601	1.279
20000602	0.692
20000603	2.999
20000604	5.302
20000605	2.268
20000606	2.209
20000607	2.075
20000608	1.639
20000609	1.757
20000610	4.584
20000611	2.091
20000612	1.668
20000613	2.315
20000614	1.913
20000615	1.336
20000616	1.112
20000617	0.520
20000618	1.341
20000619	1.475
20000620	1.751
20000621	0.848
20000622	1.284
20000623	1.546
20000624	2.013
20000625	1.997
20000626	0.399
20000627	2.402
20000628	2.981
20000629	4.221
20000630	3.699
20000701	3.505
20000702	4.210
20000703	6.124
20000704	5.370
20000705	5.463
20000706	5.464
20000707	5.058
20000708	5.080
20000709	5.427
20000710	5.328
20000711	4.845
20000712	6.627
20000713	4.206
20000714	6.270
20000715	6.153
20000716	5.917
20000717	4.517
20000718	6.715
20000719	6.049
20000720	5.453
20000721	4.467
20000722	4.462
20000723	4.314
20000724	4.277
20000725	3.641
20000726	4.292
20000727	3.954
20000728	2.958
20000729	3.359
20000730	2.963
20000731	2.748
20000801	3.214
20000802	3.266
20000803	3.208
20000804	2.989
20000805	2.775
20000806	2.477
20000807	1.992
20000808	1.730
20000809	2.325
20000810	2.269
20000811	2.195
20000812	2.253
20000813	2.337
20000814	2.224
20000815	2.201
20000816	1.910
20000817	1.777
20000818	1.929
20000819	2.182
20000820	2.271
20000821	2.232
20000822	2.158
20000823	2.075
20000824	2.174
20000825	2.370
20000826	2.407
20000827	2.436
20000828	2.276
20000829	2.175
20000830	2.156
20000831	2.286
20000901	2.399
20000902	2.368
20000903	2.456
20000904	2.542
20000905	2.495
20000906	2.326
20000907	1.960
20000908	2.159
20000909	2.136
20000910	2.538
20000911	2.483
20000912	1.851
20000913	2.094
20000914	2.193
20000915	2.000
20000916	2.108
20000917	2.178
20000918	2.228
20000919	2.193
20000920	1.192
20000921	1.297
20000922	1.752
20000923	0.477
20000924	1.051
20000925	1.096
20000926	1.285
20000927	1.529
20000928	1.704
20000929	1.748
20000930	1.747
20001001	1.983
20001002	1.866
20001003	1.884
20001004	0.914
20001005	0.246
20001006	0.411
20001007	0.211
20001008	1.084
20001009	1.022
20001010	0.712
20001011	0.503
20001012	0.355
20001013	1.158
20001014	0.978
20001015	0.150
20001016	1.023
20001017	1.889
20001018	0.574
20001019	0.346
20001020	0.106
20001021	0.676
20001022	1.552
20001023	0.126
20001024	0.885
20001025	2.033
20001026	1.155
20001027	0.650
20001028	0.749
20001029	2.665
20001030	1.589
20001031	0.676
20001101	2.731
20001102	1.542
20001103	0.585
20001104	0.332
20001105	1.762
20001106	1.627
20001107	0.143
20001108	0.088
20001109	0.378
20001110	1.247
20001111	1.895
20001112	0.914
20001113	0.689
20001114	0.580
20001115	0.909
20001116	0.511
20001117	0.376
20001118	0.332
20001119	0.462
20001120	0.449
20001121	0.459
20001122	0.233
20001123	0.253
20001124	1.603
20001125	0.772
20001126	0.438
20001127	0.532
20001128	0.503
20001129	0.326
20001130	0.456
20001201	0.462
20001202	0.139
20001203	0.177
20001204	0.418
20001205	0.243
20001206	0.694
20001207	0.157
20001208	0.182
20001209	0.396
20001210	0.034
20001211	0.378
20001212	0.199
20001213	0.561
20001214	0.293
20001215	0.220
20001216	0.415
20001217	0.115
20001218	0.540
20001219	0.430
20001220	0.290
20001221	0.047
20001222	0.772
20001223	0.318
20001224	0.324
20001225	0.276
20001226	1.422
20001227	1.208
20001228	3.500
20001229	4.587
20001230	2.086
20001231	1.089
20010101	0.977
20010102	1.091
20010103	2.167
20010104	0.720
20010105	1.801
20010106	0.657
20010107	0.704
20010108	0.488
20010109	0.148
20010110	0.148
20010111	0.183
20010112	0.213
20010113	9.168
20010114	5.117
20010115	0.553
20010116	0.233
20010117	0.031
20010118	0.235
20010119	0.059
20010120	1.341
20010121	1.555
20010122	1.467
20010123	0.571
20010124	0.870
20010125	0.216
20010126	0.078
20010127	0.049
20010128	0.314
20010129	0.862
